Edad
48
17
14
46
43
17
11
26
26
29
7
63
59
33
30
6
4
60
60
30
76
73
74
68
37
36
34
11
10
6
76
69
43
33
20
15
79
37
80
46
55
76
74
25
55
46
4
82
35
35
30
50
46
21
17
16
48
51
24
20
18
1
76
67
35
10
7
6
52
60
41
15
12
27
84
82
80
54
30
18
58
52
57
38
19
18
16
2
75
72
38
56
43
22
80
32
12
6
29
24
22
4
45
21
9
68
28
8
62
38
20
13
12
10
52
45
22
19
16
73
77
47
44
22
19
19
15
30
27
39
34
9
7
4
41
41
48
38
14
19
18
16
0
75
54
50
45
25
19
68
64
35
16
4
51
16
15
70
31
28
27
5
2
83
41
42
11
22
24
22
0
25
2
5
74
64
68
49
21
14
13
12
72
47
48
24
16
12
34
27
10
7
90
84
81
48
64
51
66
44
93
66
72
40
37
14
67
77
74
57
54
45
41
21
17
13
8
1
52
32
20
32
34
75
65
30
17
22
17
23
2
3
5
87
84
70
60
20
70
22
25
3
68
67
46
27
18
67
58
54
28
39
36
2
56
87
89
25
54
30
28
24
12
83
32
33
14
12
77
75
55
90
49
71
65
75
80
67
36
33
32
40
20
19
15
69
40
20
17
13
8
1
42
52
53
27
36
29
10
9
6
2
37
37
16
11
43
42
18
86
80
45
17
15
14
52
66
92
67
60
62
28
25
25
7
87
61
46
42
10
7
77
52
74
45
31
74
39
45
55
59
21
18
70
69
54
17
77
76
53
40
59
53
34
30
59
28
85
55
54
21
69
74
39
40
34
1
63
54
18
60
59
26
72
57
38
26
21
72
79
58
51
29
17
84
75
70
28
84
75
72
53
29
5
44
15
12
4
62
52
79
68
65
34
32
11
6
4
87
49
71
61
43
17
10
8
34
48
9
6
51
50
30
20
56
29
26
62
59
60
76
52
48
24
15
66
70
61
55
28
3
83
47
48
18
61
59
54
33
15
7
77
62
64
33
35
3
65
61
55
50
75
72
72
21
16
61
59
40
18
13
6
6
63
63
30
87
87
60
59
60
30
73
75
52
17
52
14
86
55
61
40
58
56
18
71
71
64
56
63
26
46
41
21
18
17
0
63
47
76
74
27
23
20
21
75
74
77
50
83
59
75
73
41
40
31
63
29
33
81
79
50
48
42
25
23
19
14
17
0
61
24
65
68
25
20
58
32
26
20
6
0
40
42
16
13
71
68
35
32
48
44
22
22
17
12
2
0
44
47
17
12
82
80
64
21
73
37
56
42
75
79
13
42
35
54
53
55
55
69
50
93
75
16
58
56
28
27
66
36
36
11
45
44
19
14
70
39
17
14
54
48
19
85
85
74
77
76
74
48
67
69
45
9
88
45
40
58
49
32
10
45
46
75
42
6
51
49
21
20
52
13
5
42
38
11
6
52
51
21
18
50
25
18
46
47
23
18
1
59
50
25
28
37
40
40
18
15
12
65
69
31
42
39
18
11
4
38
36
10
58
54
32
28
53
18
81
47
14
11
48
46
26
8
3
38
36
13
12
11
42
38
13
7
3
39
65
38
20
18
40
17
79
39
61
62
33
39
21
16
11
29
20
9
3
1
0
40
23
22
7
23
21
38
15
6
46
48
17
11
44
44
19
16
44
50
18
10
36
23
5
3
2
38
33
4
0
70
67
66
30
67
54
17
34
30
33
34
8
4
68
65
42
31
40
16
9
8
8
38
37
23
23
19
15
31
11
50
49
25
21
16
48
46
20
18
78
39
37
61
35
24
90
76
76
50
49
21
20
49
46
22
16
65
21
26
29
8
4
0
54
56
28
4
60
57
25
58
31
29
31
4
0
36
9
4
43
41
19
18
6
80
50
52
27
73
65
64
52
50
28
25
34
30
14
11
8
9
40
40
24
19
12
8
60
56
35
7
12
29
28
72
57
75
80
63
27
27
3
78
82
32
39
47
17
16
14
10
8
56
54
21
16
40
38
5
3
37
37
55
54
26
24
54
50
55
25
19
62
52
25
19
59
45
15
12
55
34
25
17
11
5
50
19
15
27
7
64
37
68
66
51
47
25
31
11
3
10
6
5
56
89
43
18
13
47
47
20
16
28
33
56
56
29
17
29
31
4
57
61
24
22
5
1
42
20
18
14
49
46
28
24
20
0
25
24
2
54
54
21
85
50
33
53
40
34
18
16
7
5
35
18
16
15
43
17
14
61
56
75
73
46
62
32
29
12
9
35
26
5
0
64
66
29
36
37
17
6
54
36
9
23
40
9
57
57
30
19
30
30
11
7
3
32
55
30
27
5
36
14
46
65
62
38
65
60
29
27
27
23
69
67
49
36
9
7
73
69
57
34
30
28
25
21
0
40
40
7
4
58
33
12
6
61
47
39
30
28
21
17
10
1
34
14
12
53
50
20
18
74
75
45
73
43
55
41
35
3
0
50
48
16
13
74
74
22
26
68
66
31
41
28
5
33
29
8
6
4
30
28
30
48
44
26
73
21
15
28
0
52
38
9
4
63
71
59
61
64
40
15
52
30
21
24
23
48
38
11
49
47
28
24
42
28
56
59
26
22
29
55
80
48
81
57
57
52
36
34
14
10
8
56
53
28
75
59
56
66
64
26
33
60
37
31
71
33
25
22
21
31
53
61
53
51
23
18
57
52
27
56
17
13
30
30
23
4
48
45
28
25
20
18
18
15
33
27
9
5
2
0
66
25
29
0
38
34
16
11
8
4
49
44
20
13
54
63
27
25
75
62
38
25
29
30
29
1
87
54
31
64
63
27
9
8
6
62
58
27
70
37
38
14
12
73
49
51
21
12
49
49
18
46
20
23
28
26
5
32
12
5
3
46
40
13
8
43
39
21
20
16
14
13
10
5
45
39
16
4
0
53
48
19
16
13
51
50
20
16
48
50
27
26
49
45
19
32
9
1
69
49
45
20
53
46
68
54
54
20
21
0
38
18
13
26
25
19
76
4
63
40
28
75
68
49
63
60
32
56
32
28
